SYS_TABLE_INFO_NO,1,/* 表信息表 */
SYS_COLUMN_INFO_NO,2,/* 域信息表 */
SYS_MENU_REPLACE_NO,4,/* 应用菜单替换表 */
SYS_MENU_INFO_NO,5,/* 菜单定义表 */
SYS_MENU_RELEVANT_NO,6,/* 菜单对应表 */
INDEX_DEFINE_INFO_NO,7,/* 索引定义表 */
INDEX_FIELD_DEFINE_INFO_NO,8,/* 索引表域定义表 */
MODEL_LOCK_INFO_NO,9,/* 模型锁信息表 */
TRIGGER_RELATION_NO,10,/* 触发关系表 */
MODEL_STATIC_RULES_NO,11,/* 模型静态验证规则表 */
SYS_TRIGGER_ACTIONS_NO,12,/* 触发器执行语句表 */
SYS_TRIGGER_FLAG_NO,13,/* 触发器标记表 */
SYS_ROLLBACK_ACTIONS_NO,14,/* 触发器回滚语句表 */
DY_DOWNLOAD_SIGNAL_NO,15,/* ETL动态下装信号表 */
TABLE_COLUMN_MAP_NO,16,/* ETL表域映射关系表 */
MENU_INFO_MAP_NO,17,/* ETL菜单映射关系表 */
ETL_DEVICE_ID_MAP_NO,18,/* ETL设备ID映射表 */
SYS_DYDB_INFO_NO,19,/* 动态数据库状态信息表 */
SYS_DATABASE_INFO_NO,20,/* 数据库状态信息表 */
SVR_SAMPLE_EXT_INFO_NO,21,/* 采样扩展信息表 */
SVR_YX_SAMPLE_DEFINE_NO,22,/* 遥信采样定义表 */
SVR_YC_SAMPLE_DEFINE_NO,23,/* 遥测采样定义表 */
SVR_YC_RECALL_DEFINE_NO,24,/* 遥测追忆采样定义表 */
SVR_SAMPLE_PER_CHANGE_NO,25,/* 遥测采样周期变化表 */
SVR_YX_SAMPLE_DEFINE_PAS_NO,26,/* PAS遥信采样定义表 */
SVR_YC_SAMPLE_DEFINE_PAS_NO,27,/* PAS遥测采样定义表 */
SVR_YC_RECALL_DEFINE_PAS_NO,28,/* PAS遥测追忆采样定义表 */
SVR_SAMPLE_PER_CHANGE_PAS_NO,29,/* PAS遥测采样周期变化表 */
MODEL_REGION_INFO_NO,30,/* 模型分区信息表 */
SVR_TRI_SAMPLE_TAB_DEF_NO,31,/* 触发式采样表级定义表 */
SVR_TRI_SAMPLE_COL_DEF_NO,32,/* 触发式采样域级定义表 */
SVR_YX_SAMPLE_DEFINE_DTS_NO,33,/* DTS遥信采样定义表 */
SVR_YC_SAMPLE_DEFINE_DTS_NO,34,/* DTS遥测采样定义表 */
SVR_YC_RECALL_DEFINE_DTS_NO,35,/* DTS遥测追忆采样定义表 */
SVR_SAMPLE_PER_CHANGE_DTS_NO,36,/* DTS遥测采样周期变化表 */
SVR_YX_SAMPLE_DEFINE_AGC_NO,37,/* AGC遥信采样定义表 */
SVR_YC_SAMPLE_DEFINE_AGC_NO,38,/* AGC遥测采样定义表 */
SVR_YC_RECALL_DEFINE_AGC_NO,39,/* AGC遥测追忆采样定义表 */
SVR_SAMPLE_PER_CHANGE_AGC_NO,40,/* AGC遥测采样周期变化表 */
SVR_YX_SAMPLE_DEFINE_FEP_NO,41,/* FES遥信采样定义表 */
SVR_YC_SAMPLE_DEFINE_FEP_NO,42,/* FES遥测采样定义表 */
SVR_YC_RECALL_DEFINE_FEP_NO,43,/* FES遥测追忆采样定义表 */
SVR_SAMPLE_PER_CHANGE_FEP_NO,44,/* FES遥测采样周期变化表 */
SYS_DB_TABLESPACE_INFO_NO,45,/* 数据库表空间信息表 */
SYS_TABLE_COL_MAN_NO,49,/* 表域操作属性定义表 */
PROCESS_DEFINE_NO,50,/* 流程模板表 */
ACTIVITY_DEFINE_NO,51,/* 活动模板表 */
SYS_PRIV_P_SPE_DEF_NO,52,/* 系统权限流程特殊属性定义表 */
